uid,year,data_year,country,area,fsw_sizeestimate_region,area.notes,method,PopSize,PopSize_notes,Prevalence,pse,type.of.uncertainty.measure,lower.uncertainty.measure,upper.uncertainty.measure,sample_size,requirement,notes,link,public,UID,title,ISO,adm1_geocode,iso_geocode
Benin1,2001,,Benin,City,Cotonou,,census enumeration and multiplier methods,NR,,0.012,1750,NR,NR,NR,NR,15 - 49 year old female population,1.2% of all women in the area were sex workers,https://apps.who.int/iris/bitstream/handle/10665/44549/9789241501279_eng.pdf;jsessionid=8D37832AC288C7AC454A8B7D27AB017A?sequence=1,1,REPORTWHOAFRO11,Preventing HIV among sex workers in sub-Saharan Africa: A literature review,BEN,Littoral,BEN
Benin5,2015,,Benin,City,Coutounou,,,,,,4455,,,,,,title not found,,0,,Reported by the country through the GARPR process,BEN,Littoral,BEN
Benin7,2017,,Benin,City,Coutounou,,not found,,,,7904,,,,,Travailleuses de Sexe (TS) : Ce sont des femmes recevant de l’argent ou des biens matériels en échange d’une relation sexuelle. Elles sont :,,,0,,"Reported by the country through the GARPR process 2017/ MAPPING DES SITES DE PROSTITUTION ""POINTS CHAUDS"" ET DENOMBREMENT DES TRAVAILLEUSES DE SEXE, DES SERVICES DE SANTE, ONG ET ASSOCIATIONS INTERVENANT DANS LE DOMAINE DE LA LUTTE CONTRE LES IST ET LE VIH/SIDA",BEN,Littoral,BEN
Benin2,2004,,Benin,City,"Porto-Novo, Abomey/Bohicon, Parakou, Kandi, Malanville",,,NR,,NR,782,,,,,,article found in french. translated to english but information on PSE not found ,http://www.aidsinfoonline.org/kpatlas/document/kp_data_sources.pdf,2,,Enquête de surveillance de deuxième génération du VIH et des IST auprès des utilisateurs de drogues injectables au Bénin,BEN,Zou,BEN
Benin7,2017,,Benin,National,Togo,,not found,,,,28790,,,,,Travailleuses de Sexe (TS) : Ce sont des femmes recevant de l’argent ou des biens matériels en échange d’une relation sexuelle. Elles sont :,,,0,,"Reported by the country through the GARPR process 2017/ MAPPING DES SITES DE PROSTITUTION ""POINTS CHAUDS"" ET DENOMBREMENT DES TRAVAILLEUSES DE SEXE, DES SERVICES DE SANTE, ONG ET ASSOCIATIONS INTERVENANT DANS LE DOMAINE DE LA LUTTE CONTRE LES IST ET LE VIH/SIDA",BEN,NA,NA
Botswana1,2012,2012,Botswana,district,Francistown,,census and enumeration,NR,,NR,1065,95% confidence interval,1032,1098,950,any women 18 years or older who received either money or a gift or incentive in exchange for sexual favors with the past three months.,"Gave low, mid, high estimates",https://www.fhi360.org/sites/default/files/media/documents/BBSS%202012%20Final.pdf,1,REPORTBOS12,"2012 Mapping, Size Estimation & Behavioral and Biological Surveillance Survey (BBSS) of HIV/STI Among Select High-Risk Sub-Populations in Botswana",BWA,Francistown,BWA
Botswana1,2012,2012,Botswana,district,Gaborone,,census and enumeration,NR,,NR,2722,95% confidence interval,1960,3484,950,any women 18 years or older who received either money or a gift or incentive in exchange for sexual favors within the past three months.,"Gave low, mid, high estimates",https://www.fhi360.org/sites/default/files/media/documents/BBSS%202012%20Final.pdf,1,REPORTBOS12,"2012 Mapping, Size Estimation & Behavioral and Biological Surveillance Survey (BBSS) of HIV/STI Among Select High-Risk Sub-Populations in Botswana",BWA,Gaborone,BWA
Botswana1,2012,2012,Botswana,district,Kasane,,census and enumeration,NR,,NR,366,95% confidence interval,318,414,950,any women 18 years or older who received either money or a gift or incentive in exchange for sexual favors with the past three months.,"Gave low, mid, high estimates",https://www.fhi360.org/sites/default/files/media/documents/BBSS%202012%20Final.pdf,1,REPORTBOS12,"2012 Mapping, Size Estimation & Behavioral and Biological Surveillance Survey (BBSS) of HIV/STI Among Select High-Risk Sub-Populations in Botswana",BWA,Chobe,BWA
Burkina Faso,2013,2013,Burkina Faso,City,Bobo Dioulasso,,"multiple methods - unique object multiplier method, social event multiplier method, the wisdom of the masses method and capture recapture method",142579,,0.0117,1680,95% confidence Interval,962,2398,350,"18+, assigned female sex at birth and reported having most of their income derived from sex work in the 12 months preceding the survey",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,1,ANDRTSOGO16,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,BFA,Haut-Bassins,BFA
BurkinaFaso6,2017,,Burkina Faso,National,Burkina Faso,,census ,,,,21858,,NR,NR,,,,,0,,Reported by the country through the GARPR process 2017,BFA,Centre,BFA
BurkinaFaso3,2013,,Burkina Faso,National,Burkina Faso,,Multiple methods,,,,30945,,NR,NR,699,"All: to be 18 years or above, to live in one of the cities of the study at least during three months and to give consent to participate in the study.   FSW: to be born female, to have the sex work as the principle income in the past 12 months",,,0,,"ETUDE COMPORTEMENTALE ET DE SEROPREVALENCE DU VIH ET DE LA SYPHILIS AUPRES DES HOMMES AYANT DE RAPPORTS SEXUELS AVEC D’AUTRES HOMMES (HSH), LES TRAVAILLEUSES DU SEXE (TS), A OUAGADOUGOU ET A BOBO DIOULASSO, BURKINA FASO / Reported by the country through the GARPR process",BFA,Centre,BFA
BurkinaFaso4,2013,,Burkina Faso,National,Burkina Faso,,Multiple methods,NR,,NR,47873,confidence interval,27431,68314,In Ouagadougou 349 FSW and in BoboDioulasso 350 FSW,15-49,national level,https://www.usaid.gov/documents/1860/research-brief-examining-risk-factors-hiv-and-access-services-among-female-sex-2,1,REPORTTOG14,Examining Risk Factors for HIV and Access to Services among Female Sex Workers and Men who have Sex with Men in Burkina Faso,BFA,Centre,BFA
BurkinaFaso6,2017,,Burkina Faso,Province,Gourma,,census ,,,,1065,,NR,NR,,,,,0,,Reported by the country through the GARPR process 2017,BFA,Est,BFA
BurkinaFaso6,2017,,Burkina Faso,Province,HOUET,,census ,,,,1318,,NR,NR,,,,,0,,Reported by the country through the GARPR process 2017,BFA,Haut-Bassins,BFA
BurkinaFaso6,2017,,Burkina Faso,Province,KADIOGO,,census ,,,,9335,,NR,NR,,,,,0,,Reported by the country through the GARPR process 2017,BFA,Centre,BFA
BurkinaFaso5,2014,,Burkina Faso,City,Koudougou,,census ,,,,1306,,NR,NR,,,,,0,,Reported by the country through the GARPR process,BFA,Centre-Ouest,BFA
BurkinaFaso2,2008,,Burkina Faso,City,Ouagadougou,capital city,census,NR,,NR,1500,NR,NR,NR,243,"To be less than 18 years of age, to have had sex in exchange of money or goods at least once.",,https://www.researchgate.net/publication/303821346_Etude_sur_la_prostitution_des_mineurs_et_ses_liens_avec_la_migration_et_la_traite_a_Ouagadougou_au_Burkina_Faso_Rapport_Final_ECPAT_France_ECPAT_Luxembourg_158_pages_2014_FRENCH,1,REPORTBF14,"Etude sur la prostitution des mineurs et ses liens avec la migration et la traite a Ougadougou, Burkina Faso",BFA,Centre,BFA
Burkina Faso,2013,2013,Burkina Faso,City,Ouagadougou,,"multiple methods - unique object multiplier method, social event multiplier method, the wisdom of the masses method and capture recapture method",426321,,0.0117,4988,95% confidence Interval,2856,7120,349,"18+, assigned female sex at birth and reported having most of their income derived from sex work in the 12 months preceding the survey",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5230836/,1,ANDRTSOGO16,Using Population-Size Estimation and Cross-sectional Survey Methods to Evaluate HIV Service Coverage Among Key Populations in Burkina Faso and Togo,BFA,Centre,BFA
BurkinaFaso1,2003,2002,Burkina Faso,City,Ouagadougou,capital city,census enumeration or multiplier methods,NR,,0.043,8000,NR,NR,NR,NR,15 -49 ,sex workers are 4.3% of the entire 15-49 population,https://apps.who.int/iris/bitstream/handle/10665/44549/9789241501279_eng.pdf;jsessionid=8D37832AC288C7AC454A8B7D27AB017A?sequence=1,1,REPORTWHOAFRO11,Preventing HIV among sex workers in sub-Saharan Africa: A literature review,BFA,Centre,BFA
BurkinaFaso6,2017,,Burkina Faso,Province,Sissili,,census ,,,,1445,,NR,NR,,,,,0,,Reported by the country through the GARPR process 2017,BFA,Centre-Ouest,BFA
Burundi1,2013,2013,Burundi,Province,Bujumbura Mairie,,NR,NR,The national estimate is approximately 2.4% of the adult female population (age 15- 49).,,14562,NR,NR,NR,495,fsw defined as women who had received money for sex at some point in their lives; 15 - 49,the population size estmates were used as inputs for the mode of transmission analysis,https://www.measureevaluation.org/resources/publications/tr-14-99,1,REPORTBUR14,"Burundi PLACE Report, Priorities for Local AIDS Control Efforts. May 2014",BDI,Bujumbura Mairie,BDI
Burundi1,2013,2013,Burundi,National,National,,NR,NR,The national estimate is approximately 2.4% of the adult female population (age 15- 49).,,51482,NR,NR,NR,495,fsw defined as women who had received money for sex at some point in their lives; 15 - 49, the population size estmates were used as inputs for the mode of transmission analysis. the total nataional female sex workers were 2.4& of the adult female population,https://www.measureevaluation.org/resources/publications/tr-14-99,1,REPORTBUR14,"Burundi PLACE Report, Priorities for Local AIDS Control Efforts. May 2014",BDI,Bubanza,BDI
Cameroon2,2016,,Cameroon,City,baffoussam,,multiple methods ,,,,2458,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Ouest,CMR
Cameroon1,2013,2013,Cameroon,City,Bafoussam,,Multiple methods averaged,NR,,NR,1555,95% confidence interval,951,2159,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Ouest,CMR
Cameroon1,2013,2013,Cameroon,City,Bamenda,,Multiple methods averaged,NR,,NR,1732,95% confidence interval,1059,2404,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Nord-Ouest,CMR
Cameroon2,2016,,Cameroon,City,bamenda,,multiple methods ,,,,1975,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Nord-Ouest,CMR
Cameroon1,2013,2013,Cameroon,City,Bertoua,,Multiple methods averaged,NR,,NR,545,95% confidence interval,334,757,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Est,CMR
Cameroon2,2016,,Cameroon,City,bertoua,,multiple methods ,,,,1044,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Est,CMR
Cameroon2,2016,,Cameroon,City,buea,,multiple methods ,,,,225,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Sud-Ouest,CMR
Cameroon2,2016,,Cameroon,City,douala,,multiple methods ,,,,7557,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Littoral,CMR
Cameroon1,2013,2013,Cameroon,City,Douala,,Multiple methods averaged,NR,,NR,12008,95% confidence interval,7345,16670,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Littoral,CMR
Cameroon1,2013,2013,Cameroon,City,Kribi,,Multiple methods averaged,NR,,NR,378,95% confidence interval,231,525,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Sud,CMR
Cameroon2,2016,,Cameroon,City,kribi,,multiple methods ,,,,1121,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Sud,CMR
Cameroon2,2016,,Cameroon,City,limbe,,multiple methods ,,,,148,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Sud-Ouest,CMR
Cameroon1,2013,2013,Cameroon,City,Ngaoundere,,Multiple methods averaged,NR,,NR,938,95% confidence interval,574,1303,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Adamaoua,CMR
Cameroon2,2016,,Cameroon,Sum,Total,,multiple methods ,,,,21124,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,NA,NA
Cameroon2,2016,,Cameroon,City,yaoundé,,multiple methods ,,,,6596,NR,NR,NR,,"FSW: femme de plus de 18 ans ayant eu des rapports sexuels les douze derniers mois et dont la principale source de revenu est le travail du sexe, capable d'apporter verbalement son consentement, parle l'anglais ou le français, n'ayant pas participé à une étude similaire durant les douze derniers mois, ayant signé un coupon de consentement éclairé et résidant dans la ville d'étude les trois derniers mois",,,0,,Reported by the country through the GARPR process 2017*,CMR,Centre,CMR
Cameroon1,2013,2013,Cameroon,City,Yaoundé,,Multiple methods averaged,NR,,NR,11454,95% confidence interval,7006,15901,,"FSW: (1) To be born a female (2) To be at least 18 years of age (3) To report more than half their income in the past 12 months from sex work. MSM: (1) To be born a man (2) To be at least 18 years of age (3) To report at least 1 anal sexual act with a male partner, whether insertive or receptive in the 12 months preceding the survey.",,https://www.ncbi.nlm.nih.gov/pubmed/25723989,1,ANDOMEOON15,Antiretroviral Treatment Coverage for Men Who Have Sex With Men and Female Sex Workers Living With HIV in Cameroon,CMR,Centre,CMR
CAR1,2017,,Central African Republic,National,Central African Republic,,,,,,3899,,,,,"FSW: Femmes âgée de 15 ans et plus. Toute femme qui échange de rapports sexuels contre de l'argent ou un bien de manière régulière ou occasionnelle au cours des 12 derniers mois et qui vit dans Bangui, Bégoua et Bimbo.",paper not found,,0,,Reported by the country through the GARPR process 2017,CAF,Ouaka,CAF
Congo1,2012,2012,Congo,Arrondissement,Bacongo,estimate covers 13 sites of prostitution,Survey,NR,,NR,170,NR,NR,NR,756,All: To be 15 years or older and to consent to participate in the survey. FSW: To be a women and to self-identify as sex worker. MSM: To be a men and recognize to have had sex with other men,,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,1,REPORTCON12,"ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES PROFESSIONNELLES DU SEXE, LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES ET LES DETENUS EN REPUBLIQUE DU CONGO RAPPORT FINAL",COG,Brazzaville,COG
Congo2,2017,,Congo,City,Bacongo,,,,,,600,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Brazzaville,COG
Congo2,2017,,Congo,City,Binjo,,,,,,597,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,NA,NA
Congo1,2012,2012,Congo,Sum,Brazzaville,estimate covers 117 sites of prostitution,Survey,695783,,NR,1153,NR,NR,NR,756,All: To be 15 years or older and to consent to participate in the survey. FSW: To be a women and to self-identify as sex worker. MSM: To be a men and recognize to have had sex with other men,,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,1,REPORTCON12,"ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES PROFESSIONNELLES DU SEXE, LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES ET LES DETENUS EN REPUBLIQUE DU CONGO RAPPORT FINAL",COG,Brazzaville,COG
Congo2,2017,,Congo,City,Brazzaville,,,,,,5653,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Brazzaville,COG
Congo2,2017,,Congo,City,Djiri,,,,,,213,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,NA,NA
Congo1,2012,2012,Congo,City,Dolisie,estimate covers 22 sites of prostitution,Survey,42495,,NR,93,NR,NR,NR,756,All: To be 15 years or older and to consent to participate in the survey. FSW: To be a women and to self-identify as sex worker. MSM: To be a men and recognize to have had sex with other men,,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,1,REPORTCON12,"ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES PROFESSIONNELLES DU SEXE, LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES ET LES DETENUS EN REPUBLIQUE DU CONGO RAPPORT FINAL",COG,Niari,COG
Congo2,2017,,Congo,City,Dolisie,,,,,,317,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Niari,COG
Congo2,2017,,Congo,City,Dolisie 1,,,,,,229,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Niari,COG
Congo2,2017,,Congo,City,Dolisie 2,,,,,,88,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Niari,COG
Congo1,2012,2012,Congo,Arrondissement,Loandjili,estimate covers 28 sites of prostitution,Survey,NR,,NR,304,NR,NR,NR,756,All: To be 15 years or older and to consent to participate in the survey. FSW: To be a women and to self-identify as sex worker. MSM: To be a men and recognize to have had sex with other men,,http://www.plateforme-elsa.org/_files/Rapport_PS_MSM_Detenus_Congo.pdf,1,REPORTCON12,"ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES PROFESSIONNELLES DU SEXE, LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES ET LES DETENUS EN REPUBLIQUE DU CONGO RAPPORT FINAL",COG,Pointe Noire,COG
Congo2,2017,,Congo,City,Loandjili,,,,,,319,,,,,"All: have at least 18 years old or being emancipated, to have lived in the city of the study for at least 3 months, to be at the site while the research team is visiting it, to be able of given and informed consent and not to be under the influence of alcohol or drugs; FSW: to have had sex in exchange or money or goods in the past 12 months; MSM: to be a men who had pasive or active anal sex avec another men in the past 12 months; PWID: to have injected drugs in the past 12 months",,,0,,Rapport de la cartographie programmatique et estimation de la taille des populations cles les plues exposees aux risques du VIH/SIDA,COG,Pointe Noire,COG
